customer_id, first_name , last_name  , email                           , signup_date, country_code, is_active
          1, Danielle   , Johnson    , john21@example.net              , 2025-05-28 , MX          , True
          2, Amy        , Garza      , johnsonjeffery@example.net      , 2024-12-31 , CO          , True
          3, Anna       , Baldwin    , lrobinson@example.com           , 2025-08-09 , US          , True
          4, Adam       , Shaffer    , jpeterson@example.org           , 2026-01-14 , CL          , True
          5, Matthew    , Davis      , howardmaurice@example.com       , 2025-08-07 , AR          , True
          6, Jessica    , Herrera    , smiller@example.net             , 2025-01-18 , MX          , True
          7, Michelle   , Ray        , williamsjeremy@example.com      , 2026-02-13 , CL          , True
          8, Melissa    , Delacruz   , oramirez@example.com            , 2023-09-20 , CL          , True
          9, Michael    , Santiago   , lynchgeorge@example.net         , 2023-12-16 , CL          , True
         10, Steven     , Nelson     , gabriellecameron@example.org    , 2023-11-30 , AR          , True
         11, Antonio    , Stewart    , carl95@example.org              , 2025-02-26 , MX          , True
         12, Randall    , Rocha      , ithomas@example.org             , 2025-06-02 , US          , True
         13, Amber      , Burgess    , zhurst@example.com              , 2023-11-19 , CO          , True
         14, Whitney    , Hicks      , camposmichelle@example.org      , 2025-01-27 , US          , False
         15, Laura      , Henderson  , cruzcaitlin@example.com         , 2024-10-15 , CO          , True
         16, Tasha      , Valencia   , frazierdanny@example.net        , 2025-06-08 , AR          , True
         17, Kayla      , Peterson   , ryan70@example.net              , 2025-10-19 , CO          , True
         18, Jose       , Mason      , williamrodriguez@example.net    , 2024-02-12 , MX          , True
         19, Danielle   , Lynch      , nathanielmartin@example.net     , 2025-12-04 , CL          , True
         20, Carol      , Burns      , hickmannatasha@example.com      , 2023-12-11 , AR          , True
         21, John       , Bradley    , millertodd@example.org          , 2026-02-05 , CO          , True
         22, Amanda     , Martinez   , karroyo@example.com             , 2024-10-13 , CL          , True
         23, Catherine  , Brandt     , jenniferross@example.net        , 2025-02-20 , CO          , True
         24, Samuel     , Holmes     , wrightcaleb@example.org         , 2024-12-17 , MX          , True
         25, Jerry      , Robinson   , zimmermanbrian@example.org      , 2025-11-20 , US          , True
         26, Michele    , Jones      , joshuawashington@example.net    , 2023-08-19 , MX          , True
         27, Selena     , Duncan     , esanchez@example.com            , 2023-10-19 , MX          , True
         28, Collin     , Jordan     , ujenkins@example.org            , 2025-03-17 , AR          , True
         29, Tracey     , Garcia     , zchandler@example.org           , 2023-12-21 , CO          , True
         30, James      , West       , dwhite@example.org              , 2025-10-18 , CO          , True
         31, Charles    , Morton     , williamsyvette@example.org      , 2026-01-26 , CO          , True
         32, Sara       , Allison    , richardolson@example.com        , 2025-11-17 , MX          , True
         33, Franklin   , Smith      , ybaker@example.com              , 2024-01-29 , US          , True
         34, Heather    , Cross      , smoore@example.org              , 2026-01-26 , US          , True
         35, Beth       , Daniels    , brian97@example.net             , 2025-12-05 , AR          , True
         36, Amanda     , Brown      , yorkcasey@example.org           , 2025-03-19 , CL          , True
         37, Joe        , Wilson     , bethwilliams@example.org        , 2024-06-19 , CO          , True
         38, Brandy     , Mills      , james53@example.com             , 2024-05-25 , MX          , True
         39, Emily      , Evans      , sarah10@example.com             , 2025-01-21 , MX          , True
         40, Anna       , Garcia     , williamanderson@example.com     , 2025-10-25 , AR          , True
         41, Natasha    , Wood       , samueldaniels@example.com       , 2025-01-11 , US          , True
         42, Vanessa    , Valdez     , contrerasangela@example.net     , 2023-07-19 , CL          , True
         43, Natalie    , Baker      , newtoneric@example.com          , 2025-01-03 , CO          , True
         44, Jennifer   , Harris     , william40@example.org           , 2025-02-04 , AR          , True
         45, Maria      , Williams   , kellie42@example.net            , 2024-07-13 , AR          , True
         46, Janice     , Hoffman    , jonesnicole@example.org         , 2024-11-01 , US          , True
         47, Mary       , Aguilar    , russellwilliams@example.com     , 2025-11-13 , CL          , True
         48, Laura      , Valencia   , jason31@example.com             , 2025-07-09 , CL          , True
         49, Nicole     , Russell    , sarayoung@example.org           , 2026-02-03 , CL          , True
         50, Lisa       , Keith      , whitesandra@example.com         , 2025-08-02 , US          , False
         51, Michelle   , Cochran    , erik16@example.org              , 2025-10-01 , US          , True
         52, Jeffrey    , Velasquez  , ybailey@example.org             , 2023-11-23 , MX          , True
         53, Donna      , Ross       , michelle45@example.net          , 2024-09-24 , MX          , True
         54, Erin       , Anthony    , sheila14@example.org            , 2024-12-08 , US          , True
         55, Tonya      , Johnson    , yreed@example.com               , 2024-07-08 , AR          , True
         56, Tracey     , Wilson     , jonathanfletcher@example.org    , 2024-10-05 , AR          , True
         57, Lindsay    , Mcdaniel   , michaeljones@example.net        , 2025-12-06 , AR          , True
         58, Cindy      , Alvarado   , cortezkevin@example.com         , 2025-03-10 , CL          , True
         59, Mark       , Terry      , jamesortega@example.com         , 2025-03-22 , MX          , True
         60, Raven      , Gilbert    , richard04@example.com           , 2023-11-10 , MX          , True
         61, Kristi     , Lawson     , steven73@example.net            , 2024-08-16 , CL          , True
         62, Rachel     , Flynn      , donnacampbell@example.net       , 2025-02-02 , CO          , True
         63, Matthew    , Cardenas   , emilywalker@example.org         , 2023-09-04 , AR          , True
         64, Brandon    , Riggs      , gibsonolivia@example.net        , 2023-10-24 , MX          , False
         65, Heather    , Snyder     , dylanwatts@example.org          , 2025-07-07 , CO          , False
         66, Jeffery    , Brock      , pwilliams@example.org           , 2024-07-29 , US          , True
         67, Laurie     , Contreras  , stephanie79@example.net         , 2025-11-05 , MX          , True
         68, Ronald     , Meadows    , vmerritt@example.com            , 2024-07-22 , CO          , True
         69, Karen      , Larsen     , katie87@example.net             , 2023-12-11 , CL          , True
         70, Scott      , Reeves     , josephflores@example.net        , 2023-06-24 , US          , True
         71, Edward     , Reyes      , jasminebrown@example.com        , 2024-03-17 , US          , True
         72, Steven     , Brown      , xprice@example.net              , 2026-01-02 , CL          , True
         73, Andrew     , Gilmore    , wwoods@example.com              , 2025-06-11 , CL          , True
         74, Melissa    , Ashley     , vmedina@example.net             , 2025-07-30 , MX          , True
         75, Rachael    , Freeman    , ryan06@example.com              , 2025-03-13 , CO          , True
         76, Lauren     , Ramsey     , ncalhoun@example.net            , 2023-04-28 , CO          , True
         77, Phillip    , Elliott    , millerroy@example.com           , 2023-10-10 , US          , True
         78, Jorge      , Murphy     , wmurphy@example.com             , 2024-01-21 , MX          , True
         79, Stephanie  , Fisher     , ruizkaitlyn@example.org         , 2026-02-28 , AR          , True
         80, Michael    , Santos     , websterstefanie@example.org     , 2025-09-10 , CL          , True
         81, Christine  , Allen      , kcaldwell@example.org           , 2024-08-07 , US          , True
         82, Jonathan   , Wood       , stricklandfrank@example.com     , 2023-07-24 , CL          , True
         83, Anthony    , Collins    , tsanders@example.org            , 2023-06-20 , CL          , True
         84, Hannah     , Burton     , terrykevin@example.net          , 2024-12-30 , AR          , False
         85, David      , Riggs      , reedross@example.com            , 2023-06-12 , CL          , True
         86, Deborah    , Smith      , gshort@example.com              , 2026-01-18 , US          , True
         87, Cynthia    , Poole      , ryangross@example.net           , 2024-01-12 , AR          , False
         88, Lindsey    , Medina     , umarshall@example.net           , 2024-01-11 , CO          , True
         89, Melissa    , Rivas      , ramirezshannon@example.com      , 2024-11-27 , CL          , True
         90, Elizabeth  , Rogers     , lrosales@example.com            , 2023-11-12 , US          , True
         91, Lauren     , Peterson   , angela83@example.org            , 2023-12-13 , CO          , True
         92, Richard    , Peters     , hannahbrewer@example.com        , 2024-07-20 , CL          , True
         93, Andre      , Phillips   , tholt@example.net               , 2024-12-09 , US          , True
         94, Thomas     , Schmidt    , jbarajas@example.com            , 2024-04-09 , MX          , True
         95, Shawn      , Parker     , davidlee@example.org            , 2025-05-30 , MX          , True
         96, Stephanie  , Vaughn     , javierwashington@example.net    , 2024-12-18 , MX          , True
         97, Kathleen   , Carlson    , wallkenneth@example.com         , 2023-10-08 , CO          , True
         98, Alexis     , Ferguson   , brandon08@example.com           , 2025-04-12 , US          , True
         99, David      , Oneill     , agarcia@example.net             , 2024-01-28 , CL          , True
        100, Timothy    , Peterson   , kingmichelle@example.org        , 2025-08-23 , US          , True
        101, Richard    , Jones      , hernandezlisa@example.com       , 2023-06-29 , AR          , True
        102, John       , Grant      , yobrien@example.net             , 2023-11-26 , MX          , True
        103, Alexandra  , Hayes      , levans@example.com              , 2024-02-19 , CO          , True
        104, Christine  , Lynch      , mezajared@example.org           , 2024-01-07 , AR          , True
        105, Christopher, Allen      , moorericky@example.net          , 2024-12-23 , MX          , True
        106, Kelly      , Hall       , jacqueline71@example.net        , 2023-12-04 , MX          , True
        107, Joseph     , Moody      , ronaldstephens@example.net      , 2023-09-05 , CO          , True
        108, Joseph     , Thomas     , martinkyle@example.net          , 2025-08-25 , MX          , True
        109, Samantha   , Gonzales   , sbarker@example.com             , 2025-12-29 , US          , True
        110, Vincent    , Snyder     , georgepamela@example.net        , 2024-03-08 , US          , True
        111, John       , Davis      , keyemily@example.com            , 2024-12-04 , CO          , True
        112, Kathryn    , Thompson   , lmoon@example.net               , 2024-07-07 , MX          , True
        113, Lisa       , Costa      , vbailey@example.com             , 2025-03-14 , CL          , True
        114, Mia        , Rivera     , zroberts@example.net            , 2023-05-09 , CL          , True
        115, Christopher, King       , cordovarichard@example.net      , 2025-08-26 , MX          , False
        116, Aaron      , Booth      , mgutierrez@example.net          , 2024-04-19 , US          , True
        117, Katherine  , Garrett    , harrisandrea@example.com        , 2024-07-10 , AR          , True
        118, Helen      , Martinez   , jennifercollins@example.org     , 2024-11-08 , AR          , True
        119, Christopher, Gay        , murraydavid@example.org         , 2024-09-12 , US          , True
        120, Jennifer   , Hicks      , robert77@example.org            , 2024-07-29 , AR          , True
        121, Duane      , Lee        , michellehill@example.com        , 2024-03-27 , AR          , True
        122, Kristin    , Adams      , campbellkenneth@example.net     , 2024-12-08 , CL          , True
        123, Donna      , Grimes     , wryan@example.com               , 2024-11-08 , AR          , True
        124, Amy        , Gibson     , molly39@example.com             , 2023-12-04 , CO          , True
        125, Kimberly   , Williams   , zthornton@example.com           , 2024-05-15 , MX          , True
        126, Elizabeth  , Hoover     , tylerjohnson@example.net        , 2026-01-23 , CL          , True
        127, Martin     , Garcia     , dgarcia@example.org             , 2025-05-09 , CO          , True
        128, Robert     , Pena       , charlesharrington@example.com   , 2024-03-25 , CL          , True
        129, Heather    , Santos     , melissa86@example.com           , 2025-01-27 , CL          , True
        130, Paige      , Freeman    , williamsonjimmy@example.net     , 2025-12-06 , CL          , True
        131, Wendy      , Francis    , wgood@example.net               , 2025-04-19 , US          , True
        132, Craig      , Jackson    , rebecca05@example.org           , 2024-02-06 , MX          , True
        133, Nicholas   , Thomas     , yknight@example.org             , 2023-09-28 , US          , True
        134, Christian  , Pitts      , tyleraguilar@example.org        , 2024-08-03 , CL          , True
        135, Jonathan   , Scott      , nolansteven@example.com         , 2025-03-22 , CL          , True
        136, Eric       , Alexander  , vanessa46@example.net           , 2023-12-22 , MX          , True
        137, Megan      , Gonzalez   , gcastaneda@example.org          , 2024-05-10 , CL          , True
        138, Michael    , Phillips   , andrew64@example.org            , 2024-11-23 , CO          , False
        139, Gina       , Garner     , lozanojulie@example.com         , 2025-07-04 , US          , True
        140, Jerry      , Pham       , danaoliver@example.net          , 2025-06-13 , CO          , True
        141, Katrina    , Becker     , courtneyberger@example.net      , 2023-05-12 , AR          , True
        142, Kristina   , Johnson    , jessica14@example.com           , 2025-06-04 , CO          , True
        143, Gregory    , Anderson   , alyssa42@example.com            , 2025-11-29 , MX          , True
        144, Sherry     , Coffey     , julie51@example.com             , 2026-01-20 , CL          , False
        145, Donald     , Levy       , zcoffey@example.net             , 2024-04-23 , MX          , True
        146, Krystal    , Smith      , gibsonemily@example.net         , 2024-01-04 , US          , True
        147, Parker     , Little     , daniel37@example.org            , 2025-01-19 , US          , False
        148, Sherry     , Murphy     , deborahreid@example.com         , 2025-11-24 , MX          , True
        149, Kevin      , Ortiz      , brandonjohnson@example.com      , 2023-08-01 , CO          , True
        150, Jimmy      , Medina     , qchavez@example.net             , 2025-04-11 , AR          , True
        151, Amber      , Matthews   , nicolepena@example.com          , 2025-01-15 , CO          , True
        152, Sheila     , Ramirez    , jeff73@example.com              , 2023-07-14 , CL          , True
        153, Gina       , Stephens   , bruce43@example.org             , 2026-01-05 , CL          , True
        154, Madison    , Davis      , darleneharper@example.org       , 2023-05-23 , MX          , False
        155, Matthew    , Zhang      , caseyhubbard@example.org        , 2024-12-15 , US          , True
        156, Lisa       , Hall       , kristinacarlson@example.com     , 2025-10-01 , MX          , True
        157, Duane      , Anderson   , lauren10@example.org            , 2023-04-15 , US          , True
        158, Kristy     , Young      , alfred40@example.org            , 2025-05-29 , CL          , True
        159, Alicia     , Reese      , xwest@example.net               , 2024-12-22 , CO          , True
        160, Shannon    , Walker     , acostaregina@example.net        , 2024-10-06 , CO          , True
        161, Stephen    , Maynard    , lutzmelanie@example.com         , 2025-03-31 , CO          , True
        162, Tracy      , Browning   , lammarc@example.org             , 2023-06-09 , MX          , True
